"Rank","Country","Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index","Year"
34,"Bulgaria",141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
35,"Hungary",140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
40,"Lithuania",134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
15,"Estonia",171.1,68.5,77,71.3,49.5,10.5,26.7,17.7,44.6,2017
38,"Hungary",138.8,47.5,61.6,53.5,42.8,11.2,33.1,44,66.5,2017
39,"Bulgaria",138.2,51.4,59.8,54,36.5,9.1,27.9,63.1,77.1,2017
43,"Lithuania",130.3,51.7,60,68.7,46.7,14.2,28,34.3,25,2017
11,"Estonia",176.4,74.8,79.2,71.3,57.6,9.2,32.7,17.2,63.6,2018
32,"Lithuania",149,57.3,62.4,66.8,53.2,13,28.7,33.1,68.8,2018
38,"Hungary",132.3,50.6,63.5,51.1,48.6,13.3,34.1,46.6,78.5,2018
40,"Bulgaria",129.7,54.4,60.3,52.1,41.2,8.6,31.1,63,81.6,2018
11,"Estonia",180.9,76,79.2,72.1,51,9.3,25.7,18.1,64.3,2019
29,"Lithuania",156.4,60.3,63.5,67.6,45.9,11.1,27.2,30.8,69.9,2019
34,"Latvia",149.2,55.2,63.2,59.7,49.2,9.4,31.4,35,74.7,2019
41,"Hungary",134.5,54.7,64.8,48.2,42,12.6,35.2,46.5,78.7,2019
43,"Bulgaria",130.6,52.2,60,54,37.2,8.7,28.8,64,82.8,2019
10,"Estonia",177.8,71.3,76.9,72.7,50.9,9.1,24.5,19.8,64.3,2020
22,"Lithuania",159.4,57.8,66.9,69.5,44.3,10.9,26.1,28.8,67.8,2020
31,"Latvia",150,52.5,63,62.9,47.9,8.8,32.9,33.7,74.7,2020
43,"Bulgaria",129.8,49.4,61.5,55.4,36.7,8.5,29.4,65.3,82.8,2020
44,"Hungary",128.2,47.6,64.9,47.8,40.9,14.8,35.8,48.3,79.5,2020
11,"Estonia",173.6,61.2,76.6,72.8,56.5,9.1,24.7,19,64.3,2021
19,"Lithuania",160,54.6,66.2,71,47.7,11,25.7,27,69.9,2021
30,"Latvia",147.6,45.9,62.8,62.2,52.9,8.5,31.2,33.9,74.7,2021
37,"Hungary",134,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5,2021
44,"Bulgaria",126.3,40.3,61.9,56.1,40.9,9,29.4,64.5,82.8,2021
12,"Estonia",174.2,63.5,76.2,73.3,53.7,9.3,24.5,19.7,64.3,2022
21,"Lithuania",161.8,58.7,66.7,71.9,45.6,11,26,26.7,67.8,2022
32,"Latvia",150.8,51.6,61.3,62.4,48.5,8.1,31.2,32.7,74.7,2022
39,"Hungary",137.1,52,65.7,53.4,40.7,10.9,35.5,47.9,80.3,2022
43,"Bulgaria",130.1,46,61.3,56.4,38.4,7.7,29.4,64.3,82.8,2022
18,"Estonia",171.9,61.4,74.9,74.1,54.8,11.8,23.8,17.9,64.3,2023
26,"Lithuania",161.5,56.7,67,73.2,48.8,12.7,25,25.7,69.9,2023
31,"Latvia",153.2,52.9,62.3,62.4,50.9,8.1,29.7,31.5,74.7,2023
40,"Hungary",134.3,53.1,66.1,54.4,39.2,14.6,35.6,47.7,79.5,2023
43,"Bulgaria",131.6,51.2,62,56.7,40.5,9.2,28.9,63.7,82.8,2023
